,subject,predicate,object,truth
435,http://dbpedia.org/resource/Kate_Winslet,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Sam_Mendes,1
436,http://dbpedia.org/resource/Katie_Holmes,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Tom_Cruise,1
437,http://dbpedia.org/resource/Michael_Barrett_(cinematographer),http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Anna_Faris,1
438,http://dbpedia.org/resource/Jim_Carrey,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Lauren_Holly,1
439,http://dbpedia.org/resource/Phil_Elverum,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Michelle_Williams_(actress),1
440,http://dbpedia.org/resource/Sam_Esmail,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Emmy_Rossum,1
441,http://dbpedia.org/resource/Muhammad_Affash_al-Adwan,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/California,1
442,http://dbpedia.org/resource/Elbert_A._Woodward,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/New_York_City,1
443,http://dbpedia.org/resource/Jemima_Goldsmith,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Imran_Khan,1
444,http://dbpedia.org/resource/Miranda_Priestly,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Novel,1
445,http://dbpedia.org/resource/Hadassah_Lieberman,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Rabbi,1
446,http://dbpedia.org/resource/Antoinette_Feuerwerker,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Rabbi,1
447,http://dbpedia.org/resource/Sybil_Sheridan,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Rabbi,1
448,http://dbpedia.org/resource/Raza_Jaffrey,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Miranda_Raison,1
449,http://dbpedia.org/resource/Harry_Froboess,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Berlin,1
450,http://dbpedia.org/resource/Diether_Ocampo,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Kristine_Hermosa,1
451,http://dbpedia.org/resource/Craig_Conway_(actor),http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Jill_Halfpenny,1
452,http://dbpedia.org/resource/Alexa_Nikolas,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Milosh,1
453,http://dbpedia.org/resource/Emilia_Fox,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Jared_Harris,1
454,http://dbpedia.org/resource/Stokely_Carmichael,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Miriam_Makeba,1
455,http://dbpedia.org/resource/Carmen_Ejogo,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Tricky_(musician),1
456,http://dbpedia.org/resource/Jackie_Lou_Blanco,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Ricky_Davao,1
457,http://dbpedia.org/resource/Liu_Shishi,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Nicky_Wu,1
458,http://dbpedia.org/resource/Nicholas_Tse,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Cecilia_Cheung,1
459,http://dbpedia.org/resource/Amy_Spanger,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Michael_C._Hall,1
460,http://dbpedia.org/resource/Elsa_Pataky,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Chris_Hemsworth,1
461,http://dbpedia.org/resource/J._Howard_Marshall,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Anna_Nicole_Smith,1
462,http://dbpedia.org/resource/Robert_Rodriguez,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Elizabeth_Avellán,1
463,http://dbpedia.org/resource/Kim_Jones_(digital_creative),http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Jericho_Rosales,1
464,http://dbpedia.org/resource/Jennica_Garcia,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Alwyn_Uytingco,1
465,http://dbpedia.org/resource/Shanna_Moakler,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Travis_Barker,1
466,http://dbpedia.org/resource/BB_Gandanghari,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Carmina_Villarroel,1
467,http://dbpedia.org/resource/Tonton_Gutierrez,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Glydel_Mercado,1
468,http://dbpedia.org/resource/Kim_Kardashian,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Kris_Humphries,1
469,http://dbpedia.org/resource/Ricky_Davao,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Jackie_Lou_Blanco,1
470,http://dbpedia.org/resource/Shraddha_Nigam,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Karan_Singh_Grover,1
471,http://dbpedia.org/resource/Joseph_Morgan_(actor),http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Persia_White,1
472,http://dbpedia.org/resource/Ricky_Groves,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Hannah_Waterman,1
473,http://dbpedia.org/resource/Bernard_Palanca,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Meryll_Soriano,1
474,http://dbpedia.org/resource/Heidi_Klum,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Seal_(musician),1
475,http://dbpedia.org/resource/Eddie_Mesa,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Rosemarie_Gil,1
476,http://dbpedia.org/resource/Patricio_Borghetti,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Grettell_Valdez,1
477,http://dbpedia.org/resource/Dita_Von_Teese,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Marilyn_Manson,1
478,http://dbpedia.org/resource/Emmanuel_Mallia,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Romania,1
479,http://dbpedia.org/resource/Aarón_Díaz,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Kate_del_Castillo,1
480,http://dbpedia.org/resource/Diego_Rivera,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Frida_Kahlo,1
481,http://dbpedia.org/resource/Christopher_Knight_(actor),http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Adrianne_Curry,1
482,http://dbpedia.org/resource/Alfred_Stieglitz,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Georgia_O'Keeffe,1
483,http://dbpedia.org/resource/Paul_Ramirez_Jonas,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Janine_Antoni,1
484,http://dbpedia.org/resource/Mike_Mills_(director),http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Miranda_July,1
485,http://dbpedia.org/resource/Katherine_LaNasa,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Grant_Show,1
486,http://dbpedia.org/resource/Paul_Brach,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Miriam_Schapiro,1
487,http://dbpedia.org/resource/Ryan_Phillippe,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Reese_Witherspoon,1
488,http://dbpedia.org/resource/Tori_Spelling,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Dean_McDermott,1
489,http://dbpedia.org/resource/Leon_Golub,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Nancy_Spero,1
490,http://dbpedia.org/resource/King_Moody,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Rachel_Rosenthal,1
491,http://dbpedia.org/resource/Lawrence_Alloway,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Sylvia_Sleigh,1
492,http://dbpedia.org/resource/Marc_Anthony,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Jennifer_Lopez,1
493,http://dbpedia.org/resource/Kris_Aquino,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/James_Yap,1
494,http://dbpedia.org/resource/David_Lauren,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Lauren_Bush,1
495,http://dbpedia.org/resource/Debbie_Rowe,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Michael_Jackson,1
496,http://dbpedia.org/resource/Will_Arnett__Will_Arnett__1,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Amy_Poehler,1
497,http://dbpedia.org/resource/Toya_Johnson,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Lil_Wayne,1
498,http://dbpedia.org/resource/Ahmed_Ezz_(actor),http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Angham,1
499,http://dbpedia.org/resource/Hannah_Quinlivan,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Jay_Chou,1
500,http://dbpedia.org/resource/Bud_Westmore,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Martha_Raye,1
501,http://dbpedia.org/resource/Eminem,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/2001_(Dr._Dre_album),1
502,http://dbpedia.org/resource/Pamela_Anderson,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Kid_Rock,1
503,http://dbpedia.org/resource/Stephen_Dunham,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Alexondra_Lee,1
504,http://dbpedia.org/resource/Jess_Barker,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Susan_Hayward,1
505,http://dbpedia.org/resource/Mary_Lawrence_(actress),http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Delmer_Daves,1
506,http://dbpedia.org/resource/Lina_Romay,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Jesús_Franco,1
507,http://dbpedia.org/resource/Mozelle_Britton,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Alan_Dinehart,1
508,http://dbpedia.org/resource/Jeffrey_Dean_Morgan,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Hilarie_Burton,1
724,http://dbpedia.org/resource/Tony_Parker,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Krista_Allen,0
725,http://dbpedia.org/resource/Kevin_Federline,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Manisha_Koirala,0
726,http://dbpedia.org/resource/Tamara_Brooks,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Thom_Mathews,0
727,http://dbpedia.org/resource/Amy_Spanger,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Theodore_Bikel,0
728,http://dbpedia.org/resource/Susannah_Harker,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Seal_(musician),0
729,http://dbpedia.org/resource/Stephen_Dunham,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Bernard_Archard,0
730,http://dbpedia.org/resource/Ronald_Cheng,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Abbie_Cornish,0
815,http://dbpedia.org/resource/Ray_Panthaki,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Christian_Brando,0
816,http://dbpedia.org/resource/Jack_White,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Bethany_Joy_Lenz,0
817,http://dbpedia.org/resource/Eminem,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Persia_White,0
818,http://dbpedia.org/resource/Heidi_Klum,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Darius_McCrary,0
819,http://dbpedia.org/resource/Isabella_Leong,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Jennifer_Bassey,0
820,http://dbpedia.org/resource/Emilia_Fox,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/John_Heard_(actor),0
821,http://dbpedia.org/resource/Amy_Spanger,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Demi_Moore,0
841,http://dbpedia.org/resource/Mikhail_Sholokhov,http://dbpedia.org/ontology/spouse,http://dbpedia.org/resource/Nobel_Prize_in_Literature,0
