,subject,predicate,object,truth
509,http://dbpedia.org/resource/Rear_Window_(1998_film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Daryl_Hannah,1
510,http://dbpedia.org/resource/Kill_Bill:_Volume_2,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Gordon_Liu,1
511,http://dbpedia.org/resource/Elementary_(TV_series),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Lucy_Liu,1
512,http://dbpedia.org/resource/Pulp_Fiction,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Uma_Thurman,1
513,http://dbpedia.org/resource/True_Romance,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Brad_Pitt,1
514,http://dbpedia.org/resource/Love_Actually,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Alan_Rickman,1
515,http://dbpedia.org/resource/Love_Actually,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Colin_Firth,1
516,http://dbpedia.org/resource/Love_Actually,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Hugh_Grant,1
517,http://dbpedia.org/resource/Love_Actually,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Laura_Linney,1
518,http://dbpedia.org/resource/Love_Actually,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Martine_McCutcheon,1
519,http://dbpedia.org/resource/High_School_Musical_2,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Ashley_Tisdale,1
520,http://dbpedia.org/resource/High_School_Musical_2,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Lucas_Grabeel,1
521,http://dbpedia.org/resource/High_School_Musical_2,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Vanessa_Hudgens,1
522,http://dbpedia.org/resource/On_the_Waterfront,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Marlon_Brando,1
523,http://dbpedia.org/resource/Camp_Rock,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Alyson_Stoner,1
524,http://dbpedia.org/resource/Camp_Rock,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Demi_Lovato,1
525,http://dbpedia.org/resource/Camp_Rock,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Demi_Lovato,1
526,http://dbpedia.org/resource/Camp_Rock,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Meaghan_Martin,1
527,http://dbpedia.org/resource/2012_(film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Amanda_Peet,1
528,http://dbpedia.org/resource/2012_(film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Danny_Glover,1
529,http://dbpedia.org/resource/2012_(film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Oliver_Platt,1
530,http://dbpedia.org/resource/2012_(film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Woody_Harrelson,1
531,http://dbpedia.org/resource/The_Chain_Reaction,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Hugh_Keays-Byrne,1
532,http://dbpedia.org/resource/Pocahontas_(1995_film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Mel_Gibson,1
533,http://dbpedia.org/resource/Spirits_in_the_Forest,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Depeche_Mode,1
534,http://dbpedia.org/resource/A_Hard_Day's_Night_(film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/The_Beatles,1
535,http://dbpedia.org/resource/A_Hard_Day's_Night_(film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Wilfrid_Brambell,1
536,http://dbpedia.org/resource/The_Compleat_Beatles,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Paul_McCartney,1
537,http://dbpedia.org/resource/A_Hard_Day's_Night_(film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/The_Beatles,1
538,http://dbpedia.org/resource/A_Hard_Day's_Night_(film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Wilfrid_Brambell,1
539,http://dbpedia.org/resource/Austin_Powers:_The_Spy_Who_Shagged_Me,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Seth_Green,1
540,http://dbpedia.org/resource/Austin_Powers:_The_Spy_Who_Shagged_Me,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Robert_Wagner,1
541,http://dbpedia.org/resource/Om_Shanti_Om,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Deepika_Padukone,1
542,http://dbpedia.org/resource/Om_Shanti_Om,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Shah_Rukh_Khan,1
543,http://dbpedia.org/resource/Om_Shanti_Om,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Yuvika_Chaudhary,1
544,http://dbpedia.org/resource/The_Rescuers_Down_Under,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Eva_Gabor,1
545,http://dbpedia.org/resource/Gay_Purr-ee,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Hermione_Gingold,1
546,http://dbpedia.org/resource/Robin_Hood_(1973_film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Phil_Harris,1
547,http://dbpedia.org/resource/The_Jungle_Book_(1967_film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Sterling_Holloway,1
548,http://dbpedia.org/resource/Ghostbusters_II,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Bill_Murray,1
549,http://dbpedia.org/resource/Ghostbusters_II,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Ernie_Hudson,1
550,http://dbpedia.org/resource/Ghostbusters_II,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Rick_Moranis,1
551,http://dbpedia.org/resource/Last_Action_Hero,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Anthony_Quinn,1
552,http://dbpedia.org/resource/Last_Action_Hero,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Art_Carney,1
553,http://dbpedia.org/resource/Last_Action_Hero,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Arnold_Schwarzenegger,1
554,http://dbpedia.org/resource/Last_Action_Hero,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/F._Murray_Abraham,1
555,http://dbpedia.org/resource/Last_Action_Hero,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Tom_Noonan,1
556,http://dbpedia.org/resource/Uncle_Buck_(1990_TV_series),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Lacey_Chabert,1
557,http://dbpedia.org/resource/30_Rock,http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Tina_Fey,1
558,http://dbpedia.org/resource/Godzilla_(1998_film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Harry_Shearer,1
559,http://dbpedia.org/resource/Godzilla_(1998_film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Kevin_Dunn,1
560,http://dbpedia.org/resource/Godzilla_(1998_film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Matthew_Broderick,1
561,http://dbpedia.org/resource/The_Right_Stuff_(film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Barbara_Hershey,1
562,http://dbpedia.org/resource/The_Right_Stuff_(film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Ed_Harris,1
563,http://dbpedia.org/resource/The_Right_Stuff_(film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Pamela_Reed,1
564,http://dbpedia.org/resource/The_Right_Stuff_(film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Fred_Ward,1
565,http://dbpedia.org/resource/The_Right_Stuff_(film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Lance_Henriksen,1
566,http://dbpedia.org/resource/The_Right_Stuff_(film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Scott_Glenn,1
567,http://dbpedia.org/resource/Predator_(film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Arnold_Schwarzenegger,1
568,http://dbpedia.org/resource/Predator_(film),http://dbpedia.org/ontology/starring,http://dbpedia.org/resource/Carl_Weathers,1
