,subject,predicate,object,truth
140,http://dbpedia.org/resource/Yves_Meyer,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Mathematics,1
141,http://dbpedia.org/resource/Lewis_Wolpert,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Developmental_biology,1
142,http://dbpedia.org/resource/Paul_Milgrom,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Economics,1
143,http://dbpedia.org/resource/Leon_Kass,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Human_rights,1
144,http://dbpedia.org/resource/Zohar_Manna,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Computer_science,1
145,http://dbpedia.org/resource/Pardis_Sabeti,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Bioinformatics,1
146,http://dbpedia.org/resource/Rose_Frisch,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Infertility,1
147,http://dbpedia.org/resource/Tracy_Palmer,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Molecular_biology,1
148,http://dbpedia.org/resource/Saul_Perlmutter,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Physics,1
149,http://dbpedia.org/resource/Samuel_Greenhouse,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Statistics,1
150,http://dbpedia.org/resource/Sergi_Jikia,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Turkology,1
151,http://dbpedia.org/resource/Stephen_R._Bourne,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Computer_science,1
152,http://dbpedia.org/resource/Vincenzo_Di_Nicola,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Clinical_psychology,1
153,http://dbpedia.org/resource/Niklaus_Wirth,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Computer_science,1
154,http://dbpedia.org/resource/Peter_E._Toschek,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Physics,1
155,http://dbpedia.org/resource/William_Healey_Dall,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Malacology,1
156,http://dbpedia.org/resource/Kristen_Nygaard,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Computer_science,1
157,http://dbpedia.org/resource/Walter_Wilczynski,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Behavioral_neuroscience,1
158,http://dbpedia.org/resource/Tanel_Tammet,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Computer_science,1
159,http://dbpedia.org/resource/Michael_Bulmer,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Biostatistics,1
160,http://dbpedia.org/resource/Maor_Farid,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Chaos_theory,1
161,http://dbpedia.org/resource/Kip_Thorne,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Astrophysics,1
162,http://dbpedia.org/resource/Moriba_Jah,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Satellite_navigation,1
163,http://dbpedia.org/resource/Michael_Cole_(psychologist),http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Cultural_psychology,1
164,http://dbpedia.org/resource/Sara_Nasserzadeh,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Social_psychology,1
165,http://dbpedia.org/resource/Paul_Farmer,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Medical_anthropology,1
166,http://dbpedia.org/resource/Nalini_Balbir,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Sanskrit,1
167,http://dbpedia.org/resource/Richard_D._Todd,http://dbpedia.org/ontology/academicDiscipline,http://dbpedia.org/resource/Psychiatric_genetics,1
