,subject,predicate,object,truth
278,http://dbpedia.org/resource/Population_Research_Laboratory,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Universities_Canada,1
279,http://dbpedia.org/resource/University_of_Sussex,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Association_of_Commonwealth_Universities,1
280,http://dbpedia.org/resource/Tamil_Nadu_Music_and_Fine_Arts_University,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Grants_Commission_(India),1
281,http://dbpedia.org/resource/Northern_University_of_Business_and_Technology_Khulna,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh),1
282,http://dbpedia.org/resource/University_of_Waikato,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Association_to_Advance_Collegiate_Schools_of_Business,1
283,http://dbpedia.org/resource/University_of_Edinburgh,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Universitas_21,1
284,http://dbpedia.org/resource/Manonmaniam_Sundaranar_University,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Grants_Commission_(India),1
285,http://dbpedia.org/resource/University_of_Technology_Sarawak,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_of_Canterbury,1
286,http://dbpedia.org/resource/Universiti_Utara_Malaysia,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Association_of_Commonwealth_Universities,1
287,http://dbpedia.org/resource/University_of_Exeter,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Association_of_MBAs,1
288,http://dbpedia.org/resource/University_of_Hertfordshire,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Alliance,1
289,http://dbpedia.org/resource/University_of_Rajshahi,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh),1
290,http://dbpedia.org/resource/University_of_East_Anglia,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Universities_UK,1
291,http://dbpedia.org/resource/University_of_Benin_(Nigeria),http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Association_of_African_Universities,1
292,http://dbpedia.org/resource/St._Paul's_University_College,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_of_Waterloo,1
293,http://dbpedia.org/resource/University_of_Huddersfield,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Alliance,1
