,subject,predicate,object,truth
360,http://dbpedia.org/resource/Isaac_Asimov,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/The_Caves_of_Steel,1
361,http://dbpedia.org/resource/Philip_K._Dick,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/The_Man_Who_Japed,1
362,http://dbpedia.org/resource/Poul_Anderson,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/The_Boat_of_a_Million_Years,1
363,http://dbpedia.org/resource/William_Gibson,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Neuromancer,1
364,http://dbpedia.org/resource/Brian_Aldiss,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Non-Stop_(novel),1
365,http://dbpedia.org/resource/Robert_Sheckley,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Options_(novel),1
366,http://dbpedia.org/resource/William_Tenn,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Immodest_Proposals,1
367,http://dbpedia.org/resource/Mary_Rosenblum,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Synthesis_&_Other_Virtual_Realities,1
368,http://dbpedia.org/resource/Barry_N._Malzberg,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Beyond_Apollo,1
369,http://dbpedia.org/resource/S._Fowler_Wright,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/The_Throne_of_Saturn_(short_story_collection),1
370,http://dbpedia.org/resource/Ian_R._MacLeod,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Voyages_by_Starlight,1
371,http://dbpedia.org/resource/John_Varley_(author),http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Wizard_(novel),1
372,http://dbpedia.org/resource/Iain_Banks,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Stonemouth,1
373,http://dbpedia.org/resource/Alexander_Jablokov,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/The_Breath_of_Suspension,1
374,http://dbpedia.org/resource/Gene_Wolfe,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/The_Urth_of_the_New_Sun,1
375,http://dbpedia.org/resource/C._J._Cherryh,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/The_Collected_Short_Fiction_of_C._J._Cherryh,1
376,http://dbpedia.org/resource/Harlan_Ellison,http://dbpedia.org/ontology/author,"http://dbpedia.org/resource/%22Repent,_Harlequin!%22_Said_the_Ticktockman",1
377,http://dbpedia.org/resource/Jack_Dann,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/The_Memory_Cathedral,1
378,http://dbpedia.org/resource/David_Brin,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/The_Postman,1
379,http://dbpedia.org/resource/Kim_Newman,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Back_in_the_USSA,1
380,http://dbpedia.org/resource/Harry_Turtledove,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Worldwar:_Upsetting_the_Balance,1
381,http://dbpedia.org/resource/Neal_Stephenson,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/The_Big_U,1
382,http://dbpedia.org/resource/Kevin_Dilmore,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Summon_the_Thunder,1
383,http://dbpedia.org/resource/Frank_Herbert,http://dbpedia.org/ontology/author,http://dbpedia.org/resource/Heretics_of_Dune,1
