,subject,predicate,object,truth
0,http://dbpedia.org/resource/Henry_Dunant,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Peace_Prize,1
1,http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1
2,http://dbpedia.org/resource/Henri_Becquerel,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1
3,"http://dbpedia.org/resource/John_William_Strutt,_3rd_Baron_Rayleigh",http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1
4,http://dbpedia.org/resource/Gerard_'t_Hooft,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1
5,http://dbpedia.org/resource/Gabriel_Lippmann,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1
6,http://dbpedia.org/resource/Johannes_Diderik_van_der_Waals,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1
7,http://dbpedia.org/resource/Gustaf_Dalén,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1
8,http://dbpedia.org/resource/Max_von_Laue,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1
9,http://dbpedia.org/resource/Charles_Glover_Barkla,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1
10,http://dbpedia.org/resource/Johannes_Stark,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1
11,http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1
12,http://dbpedia.org/resource/Brian_Josephson,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1
13,http://dbpedia.org/resource/James_Franck,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1
14,http://dbpedia.org/resource/Henry_Kissinger,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Peace_Prize,1
15,http://dbpedia.org/resource/Juan_Manuel_Santos,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Peace_Prize,1
16,http://dbpedia.org/resource/Walther_Bothe,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1
17,http://dbpedia.org/resource/Arno_Allan_Penzias,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1
18,http://dbpedia.org/resource/James_Watson,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine,1
19,http://dbpedia.org/resource/Ernst_Ruska,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1
20,http://dbpedia.org/resource/George_Minot,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine,1
21,http://dbpedia.org/resource/François_Jacob,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine,1
22,http://dbpedia.org/resource/Herbert_A._Hauptman,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Chemistry,1
23,http://dbpedia.org/resource/Nelson_Mandela,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Peace_Prize,1
24,http://dbpedia.org/resource/Jacobus_Henricus_van_'t_Hoff,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Chemistry,1
25,http://dbpedia.org/resource/John_Steinbeck,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
26,http://dbpedia.org/resource/Hermann_Hesse,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
27,http://dbpedia.org/resource/William_Faulkner,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
28,http://dbpedia.org/resource/Octavio_Paz,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
29,http://dbpedia.org/resource/J._M._Coetzee,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
30,http://dbpedia.org/resource/Toni_Morrison,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
31,http://dbpedia.org/resource/Frans_Eemil_Sillanpää,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
32,http://dbpedia.org/resource/John_Steinbeck,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
33,http://dbpedia.org/resource/William_Faulkner,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
34,http://dbpedia.org/resource/Pablo_Neruda,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
35,http://dbpedia.org/resource/Eugene_O'Neill,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
36,http://dbpedia.org/resource/Aleksandr_Solzhenitsyn,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
37,http://dbpedia.org/resource/T._S._Eliot,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
38,http://dbpedia.org/resource/Frans_Eemil_Sillanpää,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
39,http://dbpedia.org/resource/Harold_Pinter,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
40,http://dbpedia.org/resource/Gerhart_Hauptmann,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
41,http://dbpedia.org/resource/Thomas_Mann,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
42,http://dbpedia.org/resource/Czesław_Miłosz,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
43,http://dbpedia.org/resource/Juan_Ramón_Jiménez,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
44,http://dbpedia.org/resource/Ivo_Andrić,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
45,http://dbpedia.org/resource/Naguib_Mahfouz,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
46,http://dbpedia.org/resource/Sorley_MacLean,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
47,http://dbpedia.org/resource/Theodor_Mommsen,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Pour_le_Mérite,1
48,http://dbpedia.org/resource/Patrick_White,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
49,http://dbpedia.org/resource/Juan_Ramón_Jiménez,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
50,http://dbpedia.org/resource/Toni_Morrison,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
51,http://dbpedia.org/resource/Wisława_Szymborska,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Literature,1
