,subject,predicate,object,truth
0,http://dbpedia.org/resource/George_Meade,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Cádiz,1
1,http://dbpedia.org/resource/Aurel_Stein,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Budapest,1
2,http://dbpedia.org/resource/Comte_de_Lautréamont,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Montevideo,1
3,http://dbpedia.org/resource/Aeschylus,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Eleusis,1
4,http://dbpedia.org/resource/Eleftherios_Venizelos,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Eleftherios_Venizelos,_Crete",1
5,http://dbpedia.org/resource/Edward_Bernays,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Vienna,1
6,http://dbpedia.org/resource/Eugène_Viollet-le-Duc,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Paris,1
7,http://dbpedia.org/resource/Alfonso_XIII,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Madrid,1
8,http://dbpedia.org/resource/Eddie_Cochran,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Albert_Lea,_Minnesota",1
9,http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Ulm,1
10,"http://dbpedia.org/resource/Ferdinand_I,_Holy_Roman_Emperor",http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Alcalá_de_Henares,1
11,http://dbpedia.org/resource/Italo_Calvino,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Santiago_de_las_Vegas,1
12,http://dbpedia.org/resource/Allan_Riverstone_McCulloch,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Sydney,1
13,http://dbpedia.org/resource/Christian_V_of_Denmark,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Flensburg,1
14,http://dbpedia.org/resource/Henry_Fielding,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Sharpham,1
15,http://dbpedia.org/resource/Fred_Zinnemann,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Vienna,1
16,http://dbpedia.org/resource/Albert_Speer,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Mannheim,1
17,http://dbpedia.org/resource/Ayrton_Senna,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/São_Paulo,1
18,http://dbpedia.org/resource/Bing_Crosby,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Tacoma,_Washington",1
19,http://dbpedia.org/resource/Elie_Wiesel,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Sighetu_Marmației,1
20,http://dbpedia.org/resource/Desi_Arnaz,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Santiago_de_Cuba,1
21,"http://dbpedia.org/resource/Enrique_O'Donnell,_Conde_de_La_Bisbal",http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Cádiz,1
22,http://dbpedia.org/resource/George_Orwell,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Motihari,1
23,http://dbpedia.org/resource/Humphry_Davy,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Penzance,1
24,http://dbpedia.org/resource/Aga_Khan_III,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Bombay_Presidency,1
25,http://dbpedia.org/resource/Henryk_Sienkiewicz,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Wola_Okrzejska,1
26,http://dbpedia.org/resource/Charlie_Chaplin,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/London,1
49,http://dbpedia.org/resource/Hannibal,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Carthage_(municipality),1
50,http://dbpedia.org/resource/Christian_I_of_Denmark,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Oldenburg_(city),1
51,http://dbpedia.org/resource/Alexis_Korner,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Paris,1
52,http://dbpedia.org/resource/Isabella_II_of_Spain,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Madrid,1
53,http://dbpedia.org/resource/Isaac_Bashevis_Singer,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Leoncin,1
54,http://dbpedia.org/resource/James_Blish,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/East_Orange,_New_Jersey",1
55,http://dbpedia.org/resource/A._E._van_Vogt,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Winnipeg,1
56,http://dbpedia.org/resource/Elliott_Kastner,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Harlem,1
57,http://dbpedia.org/resource/Humayun,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Kabul,1
58,http://dbpedia.org/resource/Babrak_Karmal,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Kabul,1
59,http://dbpedia.org/resource/Adam_Mickiewicz,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Lithuania_Governorate,1
60,http://dbpedia.org/resource/Christopher_Columbus,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Genoa,1
61,http://dbpedia.org/resource/David_Bowie,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/London,1
62,http://dbpedia.org/resource/John_James_Audubon,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Les_Cayes,1
63,http://dbpedia.org/resource/Ferdinand_II_of_Portugal,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Vienna,1
64,http://dbpedia.org/resource/Carlota_Joaquina_of_Spain,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Aranjuez,1
65,http://dbpedia.org/resource/Ernest_Rutherford,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Nelson,_New_Zealand",1
66,http://dbpedia.org/resource/Claude_Auchinleck,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Aldershot,1
67,"http://dbpedia.org/resource/Archduke_Charles,_Duke_of_Teschen",http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Florence,1
68,http://dbpedia.org/resource/Douglass_Dumbrille,http://dbpedia.org/ontology/birthPlace,"http://dbpedia.org/resource/Hamilton,_Ontario",1
69,http://dbpedia.org/resource/Jorge_Luis_Borges,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Buenos_Aires,1
97,http://dbpedia.org/resource/Ansgar,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Amiens,1
100,http://dbpedia.org/resource/George_Meade,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Philadelphia,0
101,http://dbpedia.org/resource/Aurel_Stein,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Kabul,0
102,"http://dbpedia.org/resource/Ferdinand_I,_Holy_Roman_Emperor",http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Vienna,0
103,"http://dbpedia.org/resource/Enrique_O'Donnell,_Conde_de_La_Bisbal",http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Montpellier,0
