,subject,predicate,object,truth
312,http://dbpedia.org/resource/University_of_Strathclyde,http://dbpedia.org/ontology/chancellor,"http://dbpedia.org/resource/Robert_Smith,_Baron_Smith_of_Kelvin",1
313,http://dbpedia.org/resource/University_of_Mysore,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/List_of_governors_of_Karnataka,1
314,http://dbpedia.org/resource/University_of_Jaffna,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/S._Pathmanathan,1
315,http://dbpedia.org/resource/University_of_Leicester,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/David_Willetts,1
316,http://dbpedia.org/resource/Ulster_University,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Colin_Davidson_(artist),1
317,http://dbpedia.org/resource/University_of_Information_Technology_and_Sciences,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Abdul_Hamid_(politician),1
318,http://dbpedia.org/resource/University_of_Calicut,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/List_of_governors_of_Kerala,1
319,http://dbpedia.org/resource/University_of_Technology_Malaysia,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Raja_Zarith_Sofiah,1
320,http://dbpedia.org/resource/University_of_Malta,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/David_Attard,1
321,http://dbpedia.org/resource/University_of_Waikato,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Anand_Satyanand,1
322,http://dbpedia.org/resource/University_of_Huddersfield,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/George_W._Buckley,1
323,http://dbpedia.org/resource/University_of_the_Sunshine_Coast,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Angus_Houston,1
324,http://dbpedia.org/resource/University_of_Plymouth,http://dbpedia.org/ontology/chancellor,"http://dbpedia.org/resource/Jonathan_Kestenbaum,_Baron_Kestenbaum",1
325,http://dbpedia.org/resource/University_of_Technology_Sarawak,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Abdul_Taib_Mahmud,1
326,http://dbpedia.org/resource/University_of_Sheffield,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Anne_Rafferty,1
327,http://dbpedia.org/resource/Universiti_Utara_Malaysia,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Sallehuddin_of_Kedah,1
328,http://dbpedia.org/resource/University_College_London,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/University_of_London,1
329,http://dbpedia.org/resource/University_of_Portsmouth,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Karen_Blackett,1
330,http://dbpedia.org/resource/University_of_Rajasthan,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/List_of_governors_of_Rajasthan,1
331,http://dbpedia.org/resource/University_of_the_Witwatersrand,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Judy_Dlamini,1
332,http://dbpedia.org/resource/Universiti_Sains_Malaysia,http://dbpedia.org/ontology/chancellor,http://dbpedia.org/resource/Sirajuddin_of_Perlis,1
333,http://dbpedia.org/resource/University_of_Lincoln,http://dbpedia.org/ontology/chancellor,"http://dbpedia.org/resource/Victor_Adebowale,_Baron_Adebowale",1
