,subject,predicate,object,truth
345,http://dbpedia.org/resource/University_of_Canterbury,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Christchurch,1
346,http://dbpedia.org/resource/Alagappa_University,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Karaikudi,1
347,http://dbpedia.org/resource/University_of_Malta,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Msida,1
348,http://dbpedia.org/resource/Vellore_Institute_of_Technology,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Vellore,1
349,http://dbpedia.org/resource/Lala_Lajpat_Rai_University_of_Veterinary_and_Animal_Sciences,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Hisar_(city),1
350,http://dbpedia.org/resource/Tamil_Nadu_Fisheries_University,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Tamil_Nadu,1
351,http://dbpedia.org/resource/University_of_Dundee,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Dundee,1
352,http://dbpedia.org/resource/Amrita_Vishwa_Vidyapeetham,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Ettimadai,1
353,http://dbpedia.org/resource/Wilfrid_Laurier_University,http://dbpedia.org/ontology/city,"http://dbpedia.org/resource/Milton,_Ontario",1
354,http://dbpedia.org/resource/University_of_Calicut,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Malappuram,1
355,http://dbpedia.org/resource/University_of_East_Anglia,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Norwich,1
356,http://dbpedia.org/resource/University_of_Reading,http://dbpedia.org/ontology/city,"http://dbpedia.org/resource/Reading,_Berkshire",1
357,http://dbpedia.org/resource/University_of_Exeter,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Exeter,1
358,http://dbpedia.org/resource/University_College_London,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/London,1
359,http://dbpedia.org/resource/Symbiosis_International_University,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Pune,1
360,http://dbpedia.org/resource/Pondicherry_University,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Pondicherry,1
361,http://dbpedia.org/resource/University_of_London,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/London,1
362,http://dbpedia.org/resource/University_of_Lincoln,http://dbpedia.org/ontology/city,"http://dbpedia.org/resource/Lincoln,_England",1
363,http://dbpedia.org/resource/University_of_Wales,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Cardiff,1
364,http://dbpedia.org/resource/Anna_University,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Chennai,1
365,http://dbpedia.org/resource/SNDT_Women's_University,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Mumbai,1
366,http://dbpedia.org/resource/University_of_Cumbria,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Workington,1
367,http://dbpedia.org/resource/University_of_Sussex,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Falmer,1
368,http://dbpedia.org/resource/Harichand_Guruchand_University,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Gaighata,1
369,http://dbpedia.org/resource/University_of_Jammu,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Jammu,1
370,http://dbpedia.org/resource/Jaypee_University_of_Information_Technology,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Waknaghat,1
371,http://dbpedia.org/resource/University_of_Madras,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Chennai,1
372,http://dbpedia.org/resource/University_of_Manchester,http://dbpedia.org/ontology/city,http://dbpedia.org/resource/Manchester,1
373,http://dbpedia.org/resource/Vardhaman_Mahaveer_Open_University,http://dbpedia.org/ontology/city,"http://dbpedia.org/resource/Kota,_Rajasthan",1
