,subject,predicate,object,truth
27,http://dbpedia.org/resource/Edward_Bernays,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/New_York_City,1
28,http://dbpedia.org/resource/Eugène_Viollet-le-Duc,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Lausanne,1
29,http://dbpedia.org/resource/Alfonso_XIII,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Rome,1
30,http://dbpedia.org/resource/Eddie_Cochran,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Bath,_Somerset",1
31,http://dbpedia.org/resource/Constantin_Brâncuși,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Paris,1
32,http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Princeton,_New_Jersey",1
33,"http://dbpedia.org/resource/Ferdinand_I,_Holy_Roman_Emperor",http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Vienna,1
34,http://dbpedia.org/resource/Italo_Calvino,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Siena,1
35,http://dbpedia.org/resource/Allan_Riverstone_McCulloch,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Honolulu,1
36,http://dbpedia.org/resource/Christian_V_of_Denmark,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Copenhagen,1
37,http://dbpedia.org/resource/Henry_Fielding,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Lisbon,1
38,http://dbpedia.org/resource/Fred_Zinnemann,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/London,1
39,http://dbpedia.org/resource/Albert_Speer,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/London,1
40,http://dbpedia.org/resource/Ayrton_Senna,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Bologna,1
41,http://dbpedia.org/resource/Bing_Crosby,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Madrid,1
42,http://dbpedia.org/resource/Elie_Wiesel,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/New_York_City,1
43,http://dbpedia.org/resource/Desi_Arnaz,http://dbpedia.org/ontology/deathPlace,"http://dbpedia.org/resource/Del_Mar,_California",1
44,"http://dbpedia.org/resource/Enrique_O'Donnell,_Conde_de_La_Bisbal",http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Montpellier,1
45,http://dbpedia.org/resource/George_Orwell,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/London,1
46,http://dbpedia.org/resource/Humphry_Davy,http://dbpedia.org/ontology/deathPlace,http://dbpedia.org/resource/Geneva,1
