,subject,predicate,object,truth
0,http://dbpedia.org/resource/Along_Came_Polly,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/John_Hamburg,1
1,http://dbpedia.org/resource/American_Pie_2,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/J._B._Rogers,1
2,http://dbpedia.org/resource/Day_of_the_Dead_(2008_film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Steve_Miner,1
3,http://dbpedia.org/resource/Amy_(1981_film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Vincent_McEveety,1
4,http://dbpedia.org/resource/Almost_Famous,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Cameron_Crowe,1
5,http://dbpedia.org/resource/Danger:_Diabolik,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Mario_Bava,1
6,http://dbpedia.org/resource/Dante's_Inferno_(1935_film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Harry_Lachman,1
7,http://dbpedia.org/resource/David_(2013_Tamil_film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Bejoy_Nambiar,1
8,http://dbpedia.org/resource/Davy_Crockett:_King_of_the_Wild_Frontier_(film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Norman_Foster_(director),1
9,http://dbpedia.org/resource/All_About_Women,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Tsui_Hark,1
10,http://dbpedia.org/resource/Dedication_(film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Justin_Theroux,1
11,http://dbpedia.org/resource/Along_Came_Daffy,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Friz_Freleng,1
12,http://dbpedia.org/resource/Dark_Passage_(film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Delmer_Daves,1
13,http://dbpedia.org/resource/Valley_of_the_Giants_(film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/William_Keighley,1
14,http://dbpedia.org/resource/Alpine_Antics_(1936_film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Jack_King_(animator),1
15,http://dbpedia.org/resource/Vampire_Circus,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Robert_Young_(director),1
16,http://dbpedia.org/resource/Africa_Squeaks,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Bob_Clampett,1
17,http://dbpedia.org/resource/An_Enemy_of_the_People_(1978_film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/George_Schaefer_(director),1
18,http://dbpedia.org/resource/Dan_in_Real_Life,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Peter_Hedges,1
19,http://dbpedia.org/resource/All_Three_of_Us,http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Kheiron,1
20,http://dbpedia.org/resource/Against_All_Odds_(1924_film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/Edmund_Mortimer_(actor),1
21,http://dbpedia.org/resource/Dead_End_(1937_film),http://dbpedia.org/ontology/director,http://dbpedia.org/resource/William_Wyler,1
