,subject,predicate,object,truth
224,http://dbpedia.org/resource/VRV_(streaming_service),http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/California,1
225,http://dbpedia.org/resource/Yardbarker,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/California,1
226,http://dbpedia.org/resource/Eventbrite,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/San_Francisco,1
227,http://dbpedia.org/resource/RockMyRun,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/California,1
228,http://dbpedia.org/resource/SeatGeek,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/New_York_City,1
229,http://dbpedia.org/resource/HealthyWage,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/New_York_City,1
230,http://dbpedia.org/resource/23snaps,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/London,1
231,http://dbpedia.org/resource/Livemusic,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/London,1
232,http://dbpedia.org/resource/FitFinder,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/London,1
233,http://dbpedia.org/resource/Lexulous,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/India,1
234,http://dbpedia.org/resource/VRV_(streaming_service),http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/San_Francisco,1
235,http://dbpedia.org/resource/Yasni,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/Germany,1
236,http://dbpedia.org/resource/Amen_(website),http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/Berlin,1
237,http://dbpedia.org/resource/American_Advisors_Group,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/United_States,1
238,http://dbpedia.org/resource/ConnectU,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/United_States,1
239,http://dbpedia.org/resource/Yardbarker,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/United_States,1
240,http://dbpedia.org/resource/ThePlatform,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/United_States,1
241,http://dbpedia.org/resource/HealthyWage,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/United_States,1
242,http://dbpedia.org/resource/MetaTV,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/United_States,1
243,http://dbpedia.org/resource/Hootsuite,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/Vancouver,1
244,http://dbpedia.org/resource/Streamzoo,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/United_States,1
245,http://dbpedia.org/resource/Live_Well_Financial,http://dbpedia.org/ontology/foundationPlace,http://dbpedia.org/resource/United_States,1
