,subject,predicate,object,truth
35,http://dbpedia.org/resource/An_Eastern_Westerner,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Hal_Roach,1
36,http://dbpedia.org/resource/Bosko's_Knight-Mare,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Leon_Schlesinger,1
37,http://dbpedia.org/resource/Deep_Blue_Sea_(1999_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Akiva_Goldsman,1
38,http://dbpedia.org/resource/Along_Came_Daffy,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Edward_Selzer,1
39,http://dbpedia.org/resource/Death_and_the_Maiden_(film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Thom_Mount,1
40,http://dbpedia.org/resource/All_Through_the_Night_(film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Jerry_Wald,1
41,http://dbpedia.org/resource/Vasuvum_Saravananum_Onna_Padichavanga,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Arya_(actor),1
42,http://dbpedia.org/resource/American_Pie_2,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Chris_Moore_(film_producer),1
43,http://dbpedia.org/resource/Bowery_Bugs,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Edward_Selzer,1
44,http://dbpedia.org/resource/Darling_(2015_Indian_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Allu_Aravind,1
45,http://dbpedia.org/resource/Dead_Snow,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Harald_Zwart,1
46,http://dbpedia.org/resource/Uzhaippali,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/B._Venkatarama_Reddy,1
47,http://dbpedia.org/resource/Desert_Blossoms,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/William_Fox_(producer),1
48,http://dbpedia.org/resource/Devil_May_Hare,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Edward_Selzer,1
49,http://dbpedia.org/resource/Dead_End_(1937_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Samuel_Goldwyn,1
50,http://dbpedia.org/resource/Deep_Impact_(film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/David_Brown_(producer),1
51,http://dbpedia.org/resource/David_(2013_Tamil_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Vikram_(actor),1
52,http://dbpedia.org/resource/Dark_Victory,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/David_Lewis_(producer),1
53,http://dbpedia.org/resource/Amy_(2015_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/James_Gay-Rees,1
54,http://dbpedia.org/resource/Dante's_Inferno_(1935_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Sol_M._Wurtzel,1
55,http://dbpedia.org/resource/Dan_in_Real_Life,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Jonathan_Shestack,1
56,http://dbpedia.org/resource/Darna_Zaroori_Hai,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Ram_Gopal_Varma,1
57,http://dbpedia.org/resource/Deadly_Advice,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Nigel_Stafford-Clark,1
58,http://dbpedia.org/resource/Veeram_(2014_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/B._Venkatarama_Reddy,1
59,http://dbpedia.org/resource/Anandam,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Ramoji_Rao,1
60,http://dbpedia.org/resource/Analyze_This,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Paula_Weinstein,1
61,http://dbpedia.org/resource/Against_All_Odds_(1924_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/William_Fox_(producer),1
62,http://dbpedia.org/resource/Anandamanandamaye,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Ramoji_Rao,1
63,http://dbpedia.org/resource/Vampire_Circus,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Michael_Carreras,1
64,http://dbpedia.org/resource/Dangerous_Dan_McFoo,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Leon_Schlesinger,1
65,http://dbpedia.org/resource/Dante's_Inferno:_An_Animated_Epic,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Mitsuhisa_Ishikawa,1
66,http://dbpedia.org/resource/An_Angel_at_My_Table,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Bridget_Ikin,1
67,http://dbpedia.org/resource/American_Wedding,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Chris_Moore_(film_producer),1
68,http://dbpedia.org/resource/Cat_Feud,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/John_W._Burton_(film_producer),1
69,http://dbpedia.org/resource/Detouring_America,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Leon_Schlesinger,1
415,http://dbpedia.org/resource/Danger:_Diabolik,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/American_Zoetrope,0
416,http://dbpedia.org/resource/Deep_Blue_Sea_(1999_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Frank_J._Urioste,0
417,http://dbpedia.org/resource/Anandamanandamaye,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Srinu_Vaitla,0
418,http://dbpedia.org/resource/Dastak_(1996_film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Alka_Yagnik,0
419,http://dbpedia.org/resource/Darna_Zaroori_Hai,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Amal_Neerad,0
420,http://dbpedia.org/resource/All_Through_the_Night_(film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Vincent_Sherman,0
421,http://dbpedia.org/resource/Dangerous_Dan_McFoo,http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Virgil_Ross,0
422,http://dbpedia.org/resource/Dedication_(film),http://dbpedia.org/ontology/producer,http://dbpedia.org/resource/Edward_Shearmur,0
