,subject,predicate,object,truth
70,http://dbpedia.org/resource/All_in_a_Nutshell,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Walt_Disney_Animation_Studios,1
71,http://dbpedia.org/resource/Vampire_Circus,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Hammer_Film_Productions,1
72,http://dbpedia.org/resource/Powder_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Walt_Disney_Studios_Motion_Pictures,1
73,http://dbpedia.org/resource/The_Care_Bears_Movie,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/American_Greetings,1
74,http://dbpedia.org/resource/Darling_(2007_Indian_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/T-Series_(company),1
75,http://dbpedia.org/resource/Alpine_Antics_(1936_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Warner_Bros._Cartoons,1
76,http://dbpedia.org/resource/American_Pie_2,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/LivePlanet,1
77,http://dbpedia.org/resource/Boys_and_Girls_(2000_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Dimension_Films,1
78,http://dbpedia.org/resource/Davy_Crockett:_King_of_the_Wild_Frontier_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Walt_Disney_Pictures,1
79,http://dbpedia.org/resource/Analyze_This,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Village_Roadshow_Pictures,1
80,http://dbpedia.org/resource/All_Together_(1942_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Walt_Disney_Animation_Studios,1
81,http://dbpedia.org/resource/Dead_Tired,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/TF1_Group,1
82,http://dbpedia.org/resource/Gangotri_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Walt_Disney_Studios_Motion_Pictures,1
83,http://dbpedia.org/resource/Dancer_in_the_Dark,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Film4_Productions,1
84,http://dbpedia.org/resource/Dedication_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Plum_Pictures,1
85,http://dbpedia.org/resource/Deep_Impact_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/David_Brown_(producer),1
86,http://dbpedia.org/resource/Darna_Zaroori_Hai,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Sahara_Movie_Studios,1
87,http://dbpedia.org/resource/An_Enemy_of_the_People_(1978_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/First_Artists,1
88,http://dbpedia.org/resource/Good_Times_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/American_Broadcasting_Company,1
89,http://dbpedia.org/resource/Annayya_(2000_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Allu_Aravind,1
90,http://dbpedia.org/resource/Dead_Snow,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Harald_Zwart,1
91,http://dbpedia.org/resource/At_the_Earth's_Core_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/American_International_Pictures,1
92,http://dbpedia.org/resource/Garfield_Gets_Real,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Davis_Entertainment,1
93,http://dbpedia.org/resource/David_(2013_Tamil_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Bejoy_Nambiar,1
94,http://dbpedia.org/resource/Danger:_Diabolik,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Dino_de_Laurentiis_Cinematografica,1
95,http://dbpedia.org/resource/Dallas_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Warner_Bros.,1
96,http://dbpedia.org/resource/Amy_(1981_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Walt_Disney_Pictures,1
97,http://dbpedia.org/resource/Adventure_in_the_Hopfields,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Vandyke_Productions,1
98,http://dbpedia.org/resource/Alvin_and_the_Chipmunks:_Chipwrecked,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Fox_2000_Pictures,1
99,http://dbpedia.org/resource/Death_and_the_Maiden_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Film4_Productions,1
100,http://dbpedia.org/resource/Dark_Passage_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Warner_Bros.,1
101,http://dbpedia.org/resource/American_Wedding,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/LivePlanet,1
102,http://dbpedia.org/resource/Dead_End_(1937_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Samuel_Goldwyn_Productions,1
103,http://dbpedia.org/resource/Amy_(2015_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Film4_Productions,1
104,http://dbpedia.org/resource/Dangerous_Dan_McFoo,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Warner_Bros._Cartoons,1
450,http://dbpedia.org/resource/At_the_Earth's_Core_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/British_Lion_Films,0
451,http://dbpedia.org/resource/Deep_Impact_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/United_International_Pictures,0
452,http://dbpedia.org/resource/Boys_and_Girls_(2000_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Miramax,0
453,http://dbpedia.org/resource/Garfield_Gets_Real,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/20th_Century_Studios_Home_Entertainment,0
454,http://dbpedia.org/resource/Dead_Snow,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Euforia_Film,0
455,http://dbpedia.org/resource/Vanilla_Sky,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/CinemaScore,0
456,http://dbpedia.org/resource/Darling_(2007_Indian_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Balaji_Motion_Pictures,0
457,http://dbpedia.org/resource/Annayya_(2000_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Geetha_Arts,0
458,http://dbpedia.org/resource/Alvin_and_the_Chipmunks:_Chipwrecked,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/The_Hollywood_Reporter,0
459,http://dbpedia.org/resource/Arachnophobia_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Walt_Disney_Studios_Motion_Pictures,0
460,http://dbpedia.org/resource/Death_to_Smoochy,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Warner_Bros._Pictures,0
461,http://dbpedia.org/resource/Adventure_in_the_Hopfields,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/TV_Guide,0
462,http://dbpedia.org/resource/Along_Came_Daffy,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Warner_Bros.,0
463,http://dbpedia.org/resource/Good_Times_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Columbia_Pictures,0
464,http://dbpedia.org/resource/Amy_(1981_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Walt_Disney_Studios_Motion_Pictures,0
465,http://dbpedia.org/resource/Danger:_Diabolik,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/American_Zoetrope,0
466,http://dbpedia.org/resource/Darna_Zaroori_Hai,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/K_Sera_Sera_Limited,0
