,subject,predicate,object,truth
285,http://dbpedia.org/resource/Scoonie_Penn,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Memphis_Grizzlies,1
286,http://dbpedia.org/resource/LeBron_James,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Los_Angeles_Lakers,1
287,http://dbpedia.org/resource/Danny_Ainge,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Utah_Jazz,1
288,http://dbpedia.org/resource/Dwight_Howard,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Los_Angeles_Lakers,1
289,http://dbpedia.org/resource/Rasheed_Wallace,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Memphis_Tigers_men's_basketball,1
290,http://dbpedia.org/resource/Al_Horford,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Boston_Celtics,1
291,http://dbpedia.org/resource/Damon_Stoudamire,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Boston_Celtics,1
292,http://dbpedia.org/resource/Doug_Collins_(basketball),http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Chicago_Bulls,1
293,http://dbpedia.org/resource/Penns_Grove_High_School,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Devil,1
294,http://dbpedia.org/resource/Chauncey_Billups,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Portland_Trail_Blazers,1
295,http://dbpedia.org/resource/Mitchell_Robinson,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/New_York_Knicks,1
296,http://dbpedia.org/resource/Elton_Brand,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Philadelphia_76ers,1
297,http://dbpedia.org/resource/Michael_Finley,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Dallas_Mavericks,1
298,http://dbpedia.org/resource/Quin_Snyder,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Utah_Jazz,1
299,http://dbpedia.org/resource/Jaylen_Brown,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Boston_Celtics,1
300,http://dbpedia.org/resource/Gregg_Popovich,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/San_Antonio_Spurs,1
301,http://dbpedia.org/resource/Carlos_Delfino,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/U.S._Victoria_Libertas_Pallacanestro,1
302,http://dbpedia.org/resource/Clifford_Ray,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Houston_Rockets,1
303,http://dbpedia.org/resource/Carmelo_Anthony,http://dbpedia.org/ontology/team,http://dbpedia.org/resource/Los_Angeles_Lakers,1
