Dataset,ML Algorithm,ML Parameters,Normalizer,Iterations,Fact Validation Approaches,Approaches Scores,#Approaches,Best Single Approach,Best Single Score,Experiment,Training AUC-ROC Min.,Training AUC-ROC Max.,Training AUC-ROC Mean,Training AUC-ROC Std. Dev.,Testing AUC-ROC Min.,Testing AUC-ROC Max.,Testing AUC-ROC Mean,Testing AUC-ROC Std. Dev.,Improvement
BPDP_Dataset,FactBenchGradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.5, 'degree_product': 0.49646526534074836, 'jaccard': 0.5, 'katz': 0.49665378452257525, 'kl': 0.4994815722499764, 'kl_rel': 0.5131492129324158, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",11,predpath,0.713592233009709,eval001.BPDP_Dataset,0.93095,0.93095,0.93095,0,0.776557639739844,0.776557639739844,0.776557639739844,0,0.0629654067301348
factbench,FactBenchGradientBoostingClassifier2100,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.665258878348525, 'degree_product': 0.4763120277721054, 'jaccard': 0.6705404050717508, 'katz': 0.784003502453574, 'kl': 0.7083325598232683, 'kl_rel': 0.7254673547812204, 'ks': 0.6987642403202952, 'pathent': 0.7818160159900001, 'simrank': 0.7207938069690162, 'pra': 0.8282668424081534, 'predpath': 0.870938298649142}",11,predpath,0.870938298649142,eval001.factbench,0.984800135151623,0.984800135151623,0.984800135151623,0,0.928581815706586,0.928581815706586,0.928581815706586,0,0.0576435170574442
FinalDataset_Hard,FactBenchGradientBoostingClassifier1500,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.558821342256925, 'degree_product': 0.6079568693065626, 'jaccard': 0.5575757575757576, 'katz': 0.5862613868748838, 'kl': 0.4513292433537832, 'kl_rel': 0.47828592675218445, 'ks': 0.4835285369027701, 'pathent': 0.5843093511805169, 'simrank': 0.5559025841234431, 'pra': 0.6920803123257111, 'predpath': 0.7406023424428333}",11,predpath,0.740602342442833,eval001.FinalDataset_Hard,0.983479152426521,0.983479152426521,0.983479152426521,0,0.795129206172151,0.795129206172151,0.795129206172151,0,0.0545268637293177
FinalDataset_Hard,FactBenchGradientBoostingClassifier900,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.558821342256925, 'degree_product': 0.6079568693065626, 'jaccard': 0.5575757575757576, 'katz': 0.5862613868748838, 'kl': 0.4513292433537832, 'kl_rel': 0.47828592675218445, 'ks': 0.4835285369027701, 'pathent': 0.5843093511805169, 'simrank': 0.5559025841234431, 'pra': 0.6920803123257111, 'predpath': 0.7406023424428333}",11,predpath,0.740602342442833,eval001.FinalDataset_Hard,0.98136021872864,0.98136021872864,0.98136021872864,0,0.794999070459193,0.794999070459193,0.794999070459193,0,0.0543967280163599
BPDP_Dataset,FactBenchGradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.5, 'degree_product': 0.49646526534074836, 'jaccard': 0.5, 'katz': 0.49665378452257525, 'kl': 0.4994815722499764, 'kl_rel': 0.5131492129324158, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",11,predpath,0.713592233009709,eval001.BPDP_Dataset,0.9511,0.9511,0.9511,0,0.761476105193703,0.761476105193703,0.761476105193703,0,0.0478838721839947
BPDP_Dataset,FactBenchGradientBoostingClassifier3600,default,Normalizer,12,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.5, 'degree_product': 0.49646526534074836, 'jaccard': 0.5, 'katz': 0.49665378452257525, 'kl': 0.4994815722499764, 'kl_rel': 0.5131492129324158, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",11,predpath,0.713592233009709,eval001.BPDP_Dataset,0.9045,0.9373,0.920391666666667,0.0091616253354893,0.647374870393063,0.781694787444622,0.75355829955698,0.036113022120678,0.0399660665472712
BPDP_Dataset,FactBenchGradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.5, 'degree_product': 0.49646526534074836, 'jaccard': 0.5, 'katz': 0.49665378452257525, 'kl': 0.4994815722499764, 'kl_rel': 0.5131492129324158, 'ks': 0.5113582807050618, 'pathent': 0.4956169290225281, 'simrank': 0.4947685927043077, 'pra': 0.6844660194174758, 'predpath': 0.7135922330097088}",11,predpath,0.713592233009709,eval001.BPDP_Dataset,0.9145,0.9145,0.9145,0,0.751673107738712,0.751673107738712,0.751673107738712,0,0.0380808747290037
factbench,FactBenchGradientBoostingClassifier900,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.665258878348525, 'degree_product': 0.4763120277721054, 'jaccard': 0.6705404050717508, 'katz': 0.784003502453574, 'kl': 0.7083325598232683, 'kl_rel': 0.7254673547812204, 'ks': 0.6987642403202952, 'pathent': 0.7818160159900001, 'simrank': 0.7207938069690162, 'pra': 0.8282668424081534, 'predpath': 0.870938298649142}",11,predpath,0.870938298649142,eval001.factbench,0.982045482275428,0.982045482275428,0.982045482275428,0,0.891736437274522,0.891736437274522,0.891736437274522,0,0.0207981386253798
factbench,FactBenchGradientBoostingClassifier300,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.665258878348525, 'degree_product': 0.4763120277721054, 'jaccard': 0.6705404050717508, 'katz': 0.784003502453574, 'kl': 0.7083325598232683, 'kl_rel': 0.7254673547812204, 'ks': 0.6987642403202952, 'pathent': 0.7818160159900001, 'simrank': 0.7207938069690162, 'pra': 0.8282668424081534, 'predpath': 0.870938298649142}",11,predpath,0.870938298649142,eval001.factbench,0.984684380289137,0.984684380289137,0.984684380289137,0,0.889230264664204,0.889230264664204,0.889230264664204,0,0.0182919660150618
FinalDataset_Hard,FactBenchGradientBoostingClassifier300,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.558821342256925, 'degree_product': 0.6079568693065626, 'jaccard': 0.5575757575757576, 'katz': 0.5862613868748838, 'kl': 0.4513292433537832, 'kl_rel': 0.47828592675218445, 'ks': 0.4835285369027701, 'pathent': 0.5843093511805169, 'simrank': 0.5559025841234431, 'pra': 0.6920803123257111, 'predpath': 0.7406023424428333}",11,predpath,0.740602342442833,eval001.FinalDataset_Hard,0.990885167464115,0.990885167464115,0.990885167464115,0,0.757203941253021,0.757203941253021,0.757203941253021,0,0.0166015988101876
