Dataset,ML Algorithm,ML Parameters,Normalizer,Iterations,Fact Validation Approaches,Approaches Scores,#Approaches,Best Single Approach,Best Single Score,Experiment,Training AUC-ROC Min.,Training AUC-ROC Max.,Training AUC-ROC Mean,Training AUC-ROC Std. Dev.,Testing AUC-ROC Min.,Testing AUC-ROC Max.,Testing AUC-ROC Mean,Testing AUC-ROC Std. Dev.,Improvement
team,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.6935714285714286, 'degree_product': 0.4461904761904762, 'jaccard': 0.6980952380952381, 'katz': 0.7403571428571428, 'kl': 0.7247619047619048, 'kl_rel': 0.6815476190476191, 'ks': 0.6945238095238095, 'pathent': 0.7011904761904761, 'simrank': 0.7357142857142857, 'pra': 0.74, 'predpath': 0.8572619047619048}",11,predpath,0.857261904761905,eval001.team,0.989559748427673,0.989559748427673,0.989559748427673,0,0.922857142857143,0.922857142857143,0.922857142857143,0,0.0655952380952381
chancellor,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.5666666666666668, 'degree_product': 0.5785714285714285, 'jaccard': 0.5357142857142858, 'katz': 0.4785714285714286, 'kl': 0.2761904761904762, 'kl_rel': 0.35238095238095235, 'ks': 0.3952380952380953, 'pathent': 0.4380952380952381, 'simrank': 0.5880952380952381, 'pra': 0.5, 'predpath': 0.6785714285714286}",11,predpath,0.678571428571429,eval001.chancellor,"1,00","1,00","1,00",0,0.738095238095238,0.738095238095238,0.738095238095238,0,0.0595238095238095
academicDiscipline,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.6066666666666667, 'degree_product': 0.5711111111111111, 'jaccard': 0.6066666666666667, 'katz': 0.6022222222222222, 'kl': 0.6488888888888888, 'kl_rel': 0.6133333333333334, 'ks': 0.5688888888888889, 'pathent': 0.6044444444444445, 'simrank': 0.74, 'pra': 0.7333333333333333, 'predpath': 0.5333333333333333}",11,simrank,0.74,eval001.academicDiscipline,0.950420168067227,0.950420168067227,0.950420168067227,0,0.795555555555556,0.795555555555556,0.795555555555556,0,0.0555555555555556
producer,GradientBoostingClassifier1500,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.5911111111111111, 'degree_product': 0.7222222222222222, 'jaccard': 0.5955555555555556, 'katz': 0.5933333333333333, 'kl': 0.47555555555555556, 'kl_rel': 0.52, 'ks': 0.5022222222222222, 'pathent': 0.5422222222222223, 'simrank': 0.5022222222222222, 'pra': 0.8333333333333334, 'predpath': 0.7999999999999999}",11,pra,0.833333333333333,eval001.producer,"1,00","1,00","1,00",0,0.866666666666667,0.866666666666667,0.866666666666667,0,0.0333333333333333
productionCompany,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.5066666666666667, 'degree_product': 0.5622222222222222, 'jaccard': 0.5555555555555556, 'katz': 0.6422222222222222, 'kl': 0.6377777777777778, 'kl_rel': 0.5066666666666667, 'ks': 0.58, 'pathent': 0.62, 'simrank': 0.7133333333333334, 'pra': 0.7333333333333334, 'predpath': 0.8333333333333334}",11,predpath,0.833333333333333,eval001.productionCompany,0.996734693877551,0.996734693877551,0.996734693877551,0,0.866666666666667,0.866666666666667,0.866666666666667,0,0.0333333333333332
birthPlace,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.6392828999211978, 'degree_product': 0.48117190138466737, 'jaccard': 0.6549026229877295, 'katz': 0.6749690419903186, 'kl': 0.5653776877181133, 'kl_rel': 0.5506585612968591, 'ks': 0.5387819430372622, 'pathent': 0.6804007655071485, 'simrank': 0.5767477203647416, 'pra': 0.7790442418101993, 'predpath': 0.7548125633232017}",11,pra,0.779044241810199,eval001.birthPlace,0.970575022461815,0.970575022461815,0.970575022461815,0,0.809861533265789,0.809861533265789,0.809861533265789,0,0.0308172914555894
starring,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.527938808373591, 'degree_product': 0.5119967793880837, 'jaccard': 0.5393719806763285, 'katz': 0.7950080515297907, 'kl': 0.7674718196457327, 'kl_rel': 0.7561996779388084, 'ks': 0.7557165861513688, 'pathent': 0.811755233494364, 'simrank': 0.6776167471819645, 'pra': 0.7057971014492754, 'predpath': 0.8202898550724638}",11,predpath,0.820289855072464,eval001.starring,0.969341372912801,0.969341372912801,0.969341372912801,0,0.845893719806763,0.845893719806763,0.845893719806763,0,0.0256038647342995
subsidiary,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.7811671087533157, 'degree_product': 0.6217506631299735, 'jaccard': 0.826525198938992, 'katz': 0.8363395225464192, 'kl': 0.823342175066313, 'kl_rel': 0.8795755968169762, 'ks': 0.8244031830238726, 'pathent': 0.8742705570291778, 'simrank': 0.8148541114058356, 'pra': 0.8615384615384616, 'predpath': 0.8310344827586207}",11,kl_rel,0.879575596816976,eval001.subsidiary,0.968578161822467,0.968578161822467,0.968578161822467,0,0.893103448275862,0.893103448275862,0.893103448275862,0,0.0135278514588859
award,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.5283475783475784, 'degree_product': 0.5207264957264958, 'jaccard': 0.5297720797720799, 'katz': 0.6307692307692307, 'kl': 0.5243589743589744, 'kl_rel': 0.5688034188034188, 'ks': 0.5269230769230769, 'pathent': 0.5968660968660969, 'simrank': 0.6884615384615385, 'pra': 0.6978632478632478, 'predpath': 0.7854700854700855}",11,predpath,0.785470085470085,eval001.award,0.923032407407407,0.923032407407407,0.923032407407407,0,0.791239316239316,0.791239316239316,0.791239316239316,0,0.00576923076923075
director,GradientBoostingClassifier1200,default,Normalizer,1,"adamic_adar, degree_product, jaccard, katz, kl, kl_rel, ks, pathent, pra, predpath, simrank","{'adamic_adar': 0.46222222222222226, 'degree_product': 0.5777777777777777, 'jaccard': 0.46222222222222226, 'katz': 0.6555555555555554, 'kl': 0.5, 'kl_rel': 0.5444444444444444, 'ks': 0.48888888888888893, 'pathent': 0.76, 'simrank': 0.5822222222222222, 'pra': 0.7666666666666666, 'predpath': 0.8333333333333334}",11,predpath,0.833333333333333,eval001.director,0.990204081632653,0.990204081632653,0.990204081632653,0,0.835555555555556,0.835555555555556,0.835555555555556,0,0.00222222222222224
