subject,predicate,object,truth,kl_rel,degree_product,jaccard,kl,adamic_adar,katz,simrank,ks,predpath,pathent,pra,ensemble_score
http://dbpedia.org/resource/Frédéric_Passy,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Peace_Prize,1,0.125409,708.0,0.0,0.106142,0.0,0.01075,7.9e-05,0.062235,1.0,2063.265915,1.0,0.9970152757473095
http://dbpedia.org/resource/Shirin_Ebadi,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Peace_Prize,1,0.14238,649.0,0.0,0.111491,0.0,0.009625,4.3e-05,0.069343,1.0,1783.496587,1.0,0.9970152757473095
http://dbpedia.org/resource/Albert_Einstein,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.15779,19511.0,0.0,0.088692,0.0,0.03875,0.000155,0.080369,1.0,3139.331452,0.0,0.9899023703767358
http://dbpedia.org/resource/Gerard_'t_Hooft,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.155231,5012.0,0.004854,0.11531,0.40243,0.01075,0.000181,0.104978,1.0,1314.470924,1.0,0.9986167466199196
http://dbpedia.org/resource/Philipp_Lenard,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.138918,2506.0,0.0,0.102345,0.0,0.01675,0.00018,0.07954,1.0,2454.767508,1.0,0.9970152757473095
http://dbpedia.org/resource/Albert_A._Michelson,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.154011,5191.0,0.0,0.099418,0.0,0.025375,8.3e-05,0.073417,1.0,3859.298835,0.0,0.9899023703767358
http://dbpedia.org/resource/Guglielmo_Marconi,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.138918,2685.0,0.0,0.080737,0.0,0.005625,7.6e-05,0.063682,1.0,992.264039,0.0,0.9899023703767358
http://dbpedia.org/resource/Wilhelm_Wien,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.082401,3222.0,0.0,0.075533,0.0,0.017625,0.0001,0.035842,1.0,2643.052575,0.0,0.9899023703767358
http://dbpedia.org/resource/Brian_Josephson,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.175424,1969.0,0.0,0.091845,0.0,0.034625,0.000106,0.099461,1.0,4122.837112,1.0,0.9970152757473095
http://dbpedia.org/resource/Ernst_Ruska,http://dbpedia.org/ontology/award,http://dbpedia.org/resource/Nobel_Prize_in_Physics,1,0.154011,2327.0,0.0,0.085613,0.0,0.03975,6.1e-05,0.07289,1.0,3875.036043,1.0,0.9970152757473095
