subject,predicate,object,truth,degree_product,kl,adamic_adar,jaccard,katz,kl_rel,ks,pra,pathent,simrank,predpath,ensemble_score
http://dbpedia.org/resource/University_of_Queensland,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Washington_University_in_St._Louis,1,247975.0,0.112231,0.621335,0.001001,0.00775,0.245842,0.094868,0.0,567.654871,9.8e-05,1.0,0.76171875
http://dbpedia.org/resource/University_of_Mysore,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Grants_Commission_(India),1,52890.0,0.086115,0.194269,0.001377,0.0665,0.158215,0.105639,1.0,3459.973038,0.001721,1.0,0.6484375
http://dbpedia.org/resource/University_of_Salford,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Alliance,1,1482.0,0.148875,0.0,0.0,0.006375,0.26507,0.120162,0.0,852.427646,0.000115,1.0,0.765625
http://dbpedia.org/resource/University_of_Dundee,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Association_of_Commonwealth_Universities,1,29610.0,0.086867,0.0,0.0,0.03825,0.134478,0.103387,0.0,3128.732501,3.6e-05,1.0,0.755859375
http://dbpedia.org/resource/University_of_Nottingham_Malaysia_Campus,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Association_of_Commonwealth_Universities,1,2730.0,0.097864,0.0,0.0,0.018125,0.171342,0.096454,0.0,2433.008598,4.9e-05,1.0,0.755859375
http://dbpedia.org/resource/University_of_Kota,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/Association_of_Indian_Universities,1,999.0,0.080215,0.089428,0.008403,0.049875,0.128917,0.048626,0.0,3551.287194,0.001401,1.0,0.759765625
http://dbpedia.org/resource/University_of_Helsinki,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_of_the_Arctic,1,10500.0,0.108829,0.113156,0.003861,0.0505,0.128974,0.109489,0.0,6870.15909,0.000259,0.0,0.35546875
http://dbpedia.org/resource/Jagadguru_Ramanandacharya_Rajasthan_Sanskrit_University,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Grants_Commission_(India),1,4515.0,0.085136,0.0,0.0,0.123125,0.102157,0.057674,1.0,3059.958249,0.000976,1.0,0.6640625
http://dbpedia.org/resource/University_School_of_Law_and_Legal_Studies,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Grants_Commission_(India),1,4515.0,0.084291,0.0,0.0,0.118,0.102755,0.054053,1.0,3025.820713,0.000887,1.0,0.6640625
http://dbpedia.org/resource/Teesside_University,http://dbpedia.org/ontology/affiliation,http://dbpedia.org/resource/University_Alliance,1,437.0,0.094924,0.0,0.0,0.0035,0.131747,0.077956,0.0,466.865007,9.2e-05,1.0,0.765625
