subject,predicate,object,truth,jaccard,degree_product,katz,kl,adamic_adar,kl_rel,ks,pra,pathent,simrank,predpath,ensemble_score
http://dbpedia.org/resource/Death_to_Smoochy,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Film4_Productions,1,0.0,2110.0,0.0015,0.073945,0.0,0.116106,0.059107,1.0,200.234936,1.6e-05,1.0,0.6452638507325995
http://dbpedia.org/resource/Almost_Famous,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Vinyl_Films,1,0.043478,119.0,0.014,0.165646,0.323515,0.206199,0.14762,1.0,4882.638792,0.002043,1.0,0.926070389093136
http://dbpedia.org/resource/Dante's_Inferno_(1935_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Fox_Film,1,0.001006,8874.0,0.037125,0.07613,0.127336,0.123184,0.076895,1.0,4481.671573,6.6e-05,1.0,0.926070389093136
http://dbpedia.org/resource/Vanilla_Sky,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Vinyl_Films,1,0.045455,112.0,0.02125,0.165646,0.323515,0.206199,0.142983,1.0,6180.482447,0.00185,1.0,0.926070389093136
http://dbpedia.org/resource/Along_Came_Polly,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Danny_DeVito,1,0.0,1428.0,0.042375,0.177779,0.0,0.884912,0.210289,1.0,10118.724965,3.1e-05,0.0,0.4669572366206097
http://dbpedia.org/resource/Along_Came_Daffy,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Warner_Bros._Cartoons,1,0.0,2455.0,0.112625,0.075283,0.0,0.104798,0.062575,1.0,4772.574698,0.000367,1.0,0.9293721004026597
http://dbpedia.org/resource/Bosko's_Knight-Mare,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Warner_Bros._Cartoons,1,0.0,3437.0,0.083125,0.07736,0.0,0.122513,0.061151,1.0,4206.861292,0.00029,1.0,0.9293721004026597
http://dbpedia.org/resource/Devil_May_Hare,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Warner_Bros._Cartoons,1,0.002024,1964.0,0.129625,0.072483,0.151518,0.114672,0.056899,1.0,4366.475233,0.000418,1.0,0.926070389093136
http://dbpedia.org/resource/Veeram_(2014_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Vijaya_Vauhini_Studios,1,0.0,329.0,0.004375,0.104033,0.0,0.136346,0.080659,1.0,726.018643,0.00036,1.0,0.9293721004026597
http://dbpedia.org/resource/Detouring_America,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Warner_Bros._Cartoons,1,0.00202,2455.0,0.153875,0.072483,0.151518,0.114672,0.071479,1.0,3819.446586,0.000456,1.0,0.926070389093136
http://dbpedia.org/resource/Arachnophobia_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Hollywood_Pictures,1,0.0,949.0,0.010125,0.094006,0.0,0.124025,0.091802,1.0,1421.851013,2.9e-05,1.0,0.9293721004026597
http://dbpedia.org/resource/Cat_Feud,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Warner_Bros._Cartoons,1,0.0,1964.0,0.103,0.071323,0.0,0.114672,0.058832,1.0,4672.056055,0.000304,1.0,0.9293721004026597
http://dbpedia.org/resource/Foxy_Brown_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/American_International_Pictures,1,0.0,3040.0,0.06925,0.144089,0.0,0.926777,0.223697,1.0,5781.615621,4.3e-05,0.0,0.4669572366206097
http://dbpedia.org/resource/Fantastic_Four_(2005_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Marvel_Entertainment,1,0.0,1387.0,0.006375,0.091837,0.0,0.134565,0.093065,1.0,1182.116472,4.6e-05,1.0,0.9293721004026597
http://dbpedia.org/resource/Avengers:_Endgame,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Marvel_Studios,1,0.0,2288.0,0.03,0.102522,0.0,0.139229,0.099586,1.0,5983.400828,5.7e-05,1.0,0.9293721004026597
http://dbpedia.org/resource/Vampire_Circus,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Pinewood_Studios,0,0.0,612.0,0.000125,0.069761,0.0,0.086468,0.046016,1.0,2.9142,3.7e-05,1.0,0.9293721004026597
http://dbpedia.org/resource/Dancer_in_the_Dark,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Les_films_du_losange,0,0.0,1008.0,0.017375,0.194434,0.0,0.926777,0.285207,0.0,6457.731387,9.7e-05,1.0,0.8740607450913052
http://dbpedia.org/resource/Cat_Feud,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Warner_Bros.,0,0.001188,10096.0,0.03275,0.071182,0.490474,0.125701,0.045251,0.0,3647.656637,6.3e-05,0.0,0.4227171667946026
http://dbpedia.org/resource/Dallas_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Gold_Medal_Books,0,0.0,336.0,0.0,0.065675,0.0,0.062745,0.036521,1.0,-16.006908,4.2e-05,0.0,0.4669572366206097
http://dbpedia.org/resource/Alpine_Antics_(1936_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Warner_Bros.,0,0.000395,15144.0,0.600625,0.113204,0.164913,0.926777,0.15444,0.0,3978.694584,4.4e-05,0.0,0.4227171667946026
http://dbpedia.org/resource/All_in_a_Nutshell,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Nut_butter,0,0.0,15.0,0.0,0.050098,0.0,0.037181,0.012326,1.0,-20.492325,2.2e-05,0.0,0.3787907237714796
http://dbpedia.org/resource/American_Pie_2,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/VHS,0,0.0,448.0,0.0,0.06551,0.0,0.065724,0.031823,1.0,-15.591873,4.4e-05,0.0,0.4669572366206097
http://dbpedia.org/resource/American_Wedding,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Wedding_dress,0,0.0,22.0,0.0,0.055243,0.0,0.03584,0.013958,1.0,-19.939784,0.000189,0.0,0.4602387927827377
http://dbpedia.org/resource/Dedication_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/The_Weinstein_Company,0,0.0,1582.0,0.034,0.15575,0.0,0.926777,0.195003,0.0,4745.292132,2.4e-05,0.0,0.41669145422592113
http://dbpedia.org/resource/All_Together_(1942_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Government_of_Canada,0,0.006623,1015.0,0.0325,0.167315,0.158299,0.926777,0.226191,0.0,20465.961232,0.000248,0.0,0.4227171667946026
http://dbpedia.org/resource/Detouring_America,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Warner_Bros.,0,0.001188,12620.0,0.043,0.067126,0.458916,0.119129,0.03797,0.0,3841.43928,0.000121,0.0,0.4227171667946026
http://dbpedia.org/resource/Foxy_Brown_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/American_International_Pictures,0,0.0,3040.0,0.06925,0.144089,0.0,0.926777,0.223697,1.0,5781.615621,4.3e-05,0.0,0.4669572366206097
http://dbpedia.org/resource/Powder_(film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Hollywood_Pictures,0,0.0,876.0,0.026625,0.089909,0.0,0.143872,0.099783,1.0,9287.790947,4e-05,1.0,0.9293721004026597
http://dbpedia.org/resource/Along_Came_Polly,http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Universal_Pictures,0,0.0,56812.0,1.060625,0.107429,0.0,0.926777,0.157465,0.0,4603.242426,1.7e-05,0.0,0.36283421120852194
http://dbpedia.org/resource/Veeram_(2014_film),http://dbpedia.org/ontology/productionCompany,http://dbpedia.org/resource/Indo-Asian_News_Service,0,0.0,49.0,0.0,0.057068,0.0,0.04264,0.025017,1.0,-18.784507,8.7e-05,0.0,0.4669572366206097
